,mean,std
data_arc_in_days,1756.6939187371065,2992.7376861716166
observations_used,114.2973809310252,232.2310084615589
orbit_uncertainty,4.0599156875056055,3.065328615804951
minimum_orbit_intersection,0.07987437158096647,0.09247549621932782
eccentricity,0.38463285167261435,0.17109810370947007
perihelion_distance,0.8980347703604693,0.2197303142067128
perihelion_time,2460746.2718156986,1000.9655631267913
absolute_magnitude,23.363253341106823,2.7956463289942683
relative_velocity,13.265449762873748,6.212408850071667
estimated_diameter,0.19359839332768183,0.24703529863122503
